"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLDC",150.365966645622,3.78726426345359,0.356336723851895,7.82199553648046,5.19924531079312e-15,1.32705537312683e-10
"HOXC8",148.994463940052,-5.24849196139985,0.640450437875664,-6.63359990117557,3.27597071236397e-11,2.09039691155945e-07
"NGB",320.963671785393,4.55133834644416,0.533497348178415,6.65671227527171,2.80020597376757e-11,2.09039691155945e-07
"SOX2",295.671280626234,-4.52427006770815,0.527629875761989,-6.67943615326651,2.39863310398831e-11,2.09039691155945e-07
"LINC02641",44.5343978381308,3.18311263240806,0.335243617270482,6.51201848429726,7.41475921992737e-11,3.78508628658853e-07
"CTSLP8",34.0615939109177,-5.86473644519346,0.759443817935343,-6.40565678501268,1.49723434740625e-10,6.36923491386618e-07
"AL353726.2",38.5963866099183,-5.8093573893238,0.765532472948743,-6.28236888606268,3.33452466762832e-10,1.21586296595065e-06
"CEND1",93.6117226697349,3.57533887179308,0.424897995182024,6.06107560166252,1.3521425384342e-09,4.31401076887432e-06
"LINC02428",26.1299947949638,-5.44741764112026,0.747669051256589,-5.9483773384034,2.7081371608059e-09,7.58136515217759e-06
"LINC00930",60.4627761493874,3.14958776253197,0.362296267114724,5.9332318813301,2.97028880746654e-09,7.58136515217759e-06
"AL772337.3",89.9956910751538,-6.10614497377275,0.869856229544822,-5.87010220809098,4.3552655884391e-09,9.39815216839676e-06
"AC137936.2",44.1317001446736,3.0038982975236,0.341512727734227,5.86771190291649,4.41850125453539e-09,9.39815216839676e-06
"FAM83A",201.143063142018,-4.0558756248692,0.523823694656613,-5.83378655078298,5.41834281804677e-09,1.06382909298328e-05
"BBOX1",277.573445914354,3.03777014885165,0.352318058956343,5.78389355029956,7.29911407686239e-09,1.33073276927025e-05
"RGS21",29.9235994580623,-5.86828035379096,0.856593630608519,-5.68330206977206,1.32118610816503e-08,2.24813028165361e-05
"KIF28P",50.1574421162514,2.96696866365498,0.347644700791072,5.65798546383449,1.53160103900887e-08,2.44328655747889e-05
"SGIP1",301.55216936255,2.92628508933694,0.347084399256142,5.54990398146757,2.85826537629288e-08,4.29143326261761e-05
"MSLN",504.243908570571,-4.43054637090421,0.619443315773068,-5.538111855518,3.05749973000116e-08,4.33553461714164e-05
"PROX1",113.256036046714,-3.89807691401618,0.525936427928527,-5.51031790178645,3.58186197238199e-08,4.81176026226726e-05
"MMP3",118.102686614254,-4.01130373568609,0.548617510805501,-5.48889467867109,4.04456684924137e-08,5.16167621300183e-05
"ELF5",126.901955989204,-3.77747040998126,0.509805019486141,-5.4481033018875,5.09097889178386e-08,5.41425605141214e-05
"SP8",16.4456885769571,-5.10299585997774,0.752475984126908,-5.45266021312084,4.96218303947699e-08,5.41425605141214e-05
"PLEKHD1",298.752120121659,3.35260472650065,0.43093108955583,5.45935251254564,4.77874115979848e-08,5.41425605141214e-05
"OR9K1P",21.1933416261481,-5.85166153983713,0.89041526256926,-5.44876277820962,5.07214101802545e-08,5.41425605141214e-05
"AL772337.1",306.437774495368,-4.83163392480977,0.712087390852084,-5.38084787630467,7.41358244483306e-08,7.56897113287676e-05
"CFHR3",95.1938844048825,-3.39275894035643,0.448554353114107,-5.33437904179194,9.58720702163217e-08,9.10903066779271e-05
"RYR3",802.914400960455,2.72707586194852,0.323818927423422,5.33346174570647,9.63578702516859e-08,9.10903066779271e-05
"AC023421.1",16.6461462435398,2.83749749785803,0.345599178325952,5.31684567873885,1.05581540046686e-07,9.62451152911293e-05
"CCL20",105.038400835987,-3.89001276369917,0.549790683698275,-5.25656918058148,1.46767582296323e-07,0.000129175716225219
"INSYN2B",245.756801238281,3.46153093773996,0.472008080817526,5.2150186358601,1.83798755976438e-07,0.00015133159508202
"AL031123.5",142.864623001293,2.87066790535204,0.358645446417983,5.21592543286294,1.82901748276762e-07,0.00015133159508202
"TRAJ24",5.49808130499656,3.06439711747669,0.398771196509191,5.17689626419421,2.25607574091243e-07,0.000179950241284528
"HEPACAM2",191.237246350474,-3.86773349253376,0.555335559796381,-5.16396517735194,2.41772693741533e-07,0.000187000188941179
"DBX2",37.0385304185749,-4.33012751394026,0.648652167080344,-5.13391873633836,2.83770660535165e-07,0.000213028304102928
"PPP1R1B",368.558562636651,-3.33809808184037,0.458113088524161,-5.10375743546795,3.32975021763277e-07,0.000242824413013882
"KRT36",125.828722291009,-2.94341062221164,0.383173734961627,-5.0718784845894,3.93907897259898e-07,0.000279280699157268
"BCL9P1",14.7278499148882,2.75663836764402,0.346947251221839,5.06312807338203,4.12432577216949e-07,0.000283636295921299
"AC023310.4",66.0513731006007,-3.6115880118486,0.516263750856897,-5.05863138272613,4.22276259403282e-07,0.000283636295921299
"GLULP4",29.1234303441788,3.45972213151666,0.489831764752993,5.02156517504947,5.12521065705764e-07,0.000335425325155742
"KBTBD12",17.2291293875018,2.48634004567786,0.296880532277122,5.00652580442845,5.54212349473925e-07,0.000353642900199312
"FAM189A1",81.8526786025098,3.52980707835674,0.509312719082397,4.96709974750791,6.79616358666417e-07,0.000411426292919123
"S100A9",2908.62546257636,3.12486015658622,0.428116112937826,4.96328003635502,6.93125317172946e-07,0.000411426292919123
"AC055874.1",132.287521216747,3.73782939176438,0.551530743648983,4.96405580883964,6.90360915596672e-07,0.000411426292919123
"KIAA1549L",234.04269438371,-3.28000001306764,0.460099302327583,-4.95545201119283,7.21623320728619e-07,0.000418607128142665
"TCTEX1D1",100.318380952393,2.84559361978873,0.377455779486614,4.88956248676062,1.01060339702677e-06,0.000573214246793586
"C2orf66",56.9873035158807,2.47560455330257,0.30645466711634,4.81508265867714,1.47138971335622e-06,0.000816429370515305
"IGF2BP3",35.0744084132486,-4.09164138040167,0.643144727781312,-4.80706946174783,1.53158787574713e-06,0.000831749977458932
